0.359633	0.510196	0.130171
0.383273	0.425710	0.191017
0.341640	0.553415	0.104945
0.515849	0.360248	0.123903
0.311161	0.622398	0.066442
0.331076	0.576030	0.092894
0.302427	0.646096	0.051477
0.613556	0.096572	0.289872
0.353001	0.585163	0.061837
0.292682	0.633676	0.073642
0.188901	0.777620	0.033480
0.251324	0.706664	0.042012
0.084598	0.909965	0.005436
0.639731	0.118799	0.241470
0.676675	0.150121	0.173204
0.262496	0.698198	0.039306
0.354522	0.536133	0.109345
0.041368	0.955478	0.003153
0.200165	0.780250	0.019584
0.364706	0.485937	0.149357
0.324649	0.591457	0.083894
0.378852	0.447407	0.173741
0.023127	0.975358	0.001515
0.346096	0.543331	0.110573
0.366346	0.498079	0.135575
0.299306	0.630495	0.070200
0.353040	0.537211	0.109749
0.319763	0.599109	0.081127
0.212797	0.756952	0.030251
0.546638	0.044865	0.408498
0.358866	0.501661	0.139473
0.353545	0.536496	0.109959
0.284245	0.651126	0.064629
0.152718	0.831768	0.015514
0.606910	0.325553	0.067537
0.509834	0.215652	0.274514
0.707926	0.146908	0.145166
0.382428	0.415065	0.202507
0.351909	0.521660	0.126431
0.795594	0.101089	0.103318
0.367857	0.495201	0.136942
0.339403	0.564892	0.095705
0.263062	0.685547	0.051391
0.472991	0.035811	0.491198
0.152427	0.826641	0.020932
0.064020	0.930437	0.005543
0.251976	0.698619	0.049405
0.196191	0.774489	0.029320
0.492802	0.402083	0.105115
0.132325	0.853889	0.013786
0.296936	0.635229	0.067835
0.244250	0.725292	0.030458
0.279867	0.673900	0.046233
0.348292	0.543133	0.108576
0.318174	0.609404	0.072423
